============================================================
BATCH RUN SUMMARY
Created     : 2026-04-21_12-32-05
Seeds       : 10
Workers     : 7
Batch dir   : /Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-32-05
Results CSV : /Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-32-05/batch_results.csv
------------------------------------------------------------
seed,gas_mean_tat,electric_mean_tat,n_completed_gas,n_completed_electric,gas_log,electric_log
4,84.7,72.9,16,15,seed004_gas.log,seed004_electric.log
3,59.2,114.5,16,14,seed003_gas.log,seed003_electric.log
1,87.5,69.4,16,16,seed001_gas.log,seed001_electric.log
2,72.5,91.7,16,11,seed002_gas.log,seed002_electric.log
8,67.6,81.7,16,12,seed008_gas.log,seed008_electric.log
6,64.7,125.5,16,15,seed006_gas.log,seed006_electric.log
7,228.7,87.3,16,13,seed007_gas.log,seed007_electric.log
5,79.0,146.5,16,12,seed005_gas.log,seed005_electric.log
0,239.2,99.9,12,16,seed000_gas.log,seed000_electric.log
9,139.5,88.5,16,16,seed009_gas.log,seed009_electric.log
