run_id,seed,gse_type,log_file,gse_id,spawn_node,final_node,final_status,final_soc_pct,completed_tasks,total_energy_consumed_pct,charge_duration_min,base_consumption_rate_pct_per_unit,speed,low_soc_threshold_pct,critical_soc_threshold_pct,goal_node,assigned_plane_id,assigned_service_type,task_stage,waiting,position_x,position_y
seed000_gas,0,gas,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_gas.log,1,65,6.0,taxiing,61.0,2,522.0,2.0,0.25,4.0,20.0,10.0,4,IB452,load,load_to_cargo,True,14.0,22
seed000_gas,0,gas,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_gas.log,2,69,6.0,available,100.0,0,575.0,2.0,0.25,4.0,20.0,10.0,,,,,False,14.0,22
seed000_gas,0,gas,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_gas.log,3,6,17.0,available,84.0,5,491.0,2.0,0.25,4.0,20.0,10.0,,,,,False,17.0,38
seed000_gas,0,gas,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_gas.log,4,49,4.0,taxiing,31.0,5,538.0,2.0,0.25,4.0,20.0,10.0,9,EK149,load,load_to_plane,True,10.0,22
seed000_gas,0,gas,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_gas.log,5,81,86.0,taxiing,57.0,5,522.0,2.0,0.25,4.0,20.0,10.0,1,KL642,load,load_to_cargo,False,3.0,8.0
seed000_gas,0,gas,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_gas.log,6,78,39.0,taxiing,90.0,2,579.0,2.0,0.25,4.0,20.0,10.0,4,QF640,load,load_to_cargo,False,16.0,20
seed000_electric,0,electric,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_electric.log,1,65,17.0,available,66.0,4,220.0,15.0,0.5,4.0,20.0,10.0,,,,,False,17.0,38
seed000_electric,0,electric,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_electric.log,2,69,12.0,available,30.0,4,162.0,15.0,0.5,4.0,20.0,10.0,,,,,False,37.0,22
seed000_electric,0,electric,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_electric.log,3,6,15.0,available,22.0,5,166.0,15.0,0.5,4.0,20.0,10.0,,,,,False,27.0,39
seed000_electric,0,electric,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_electric.log,4,49,2.0,available,44.0,6,344.0,15.0,0.5,4.0,20.0,10.0,,,,,False,8.0,1
seed000_electric,0,electric,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_electric.log,5,81,5.0,available,100.0,4,290.0,15.0,0.5,4.0,20.0,10.0,,,,,False,16.0,1
seed000_electric,0,electric,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_electric.log,6,78,14.0,available,50.0,6,330.0,15.0,0.5,4.0,20.0,10.0,,,,,False,33.0,34
