run_id,seed,gse_type,log_file,plane_id,gate_node_id,cargo_from_node,cargo_to_node,final_status,completed,spawn_time_min,unload_start_time_min,unloading_complete_time_min,load_start_time_min,loading_complete_time_min,departure_ready_time_min,departed_time_min,turnaround_time_min,wait_unload_min,wait_load_min
seed000_gas,0,gas,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_gas.log,AF1341,19,3,4,departed,True,274.0,291.0,306.0,451.0,466.0,471.0,471.0,197.0,17.0,145.0
seed000_gas,0,gas,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_gas.log,AF782,9,1,3,departed,True,66.0,70.0,85.0,291.0,306.0,311.0,311.0,245.0,4.0,206.0
seed000_gas,0,gas,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_gas.log,BA774,16,4,3,departed,True,170.0,231.0,246.0,460.0,475.0,480.0,480.0,310.0,61.0,214.0
seed000_gas,0,gas,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_gas.log,EK149,9,4,3,load_assigned,False,294.0,530.0,545.0,,,,,,236.0,
seed000_gas,0,gas,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_gas.log,EK533,13,2,1,departed,True,122.0,131.0,146.0,466.0,481.0,486.0,486.0,364.0,9.0,320.0
seed000_gas,0,gas,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_gas.log,IB204,18,3,4,departed,True,250.0,266.0,281.0,622.0,637.0,642.0,642.0,392.0,16.0,341.0
seed000_gas,0,gas,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_gas.log,IB452,15,4,3,load_assigned,False,377.0,631.0,646.0,,,,,,254.0,
seed000_gas,0,gas,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_gas.log,KL123,17,1,1,departed,True,425.0,639.0,654.0,698.0,713.0,718.0,718.0,293.0,214.0,44.0
seed000_gas,0,gas,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_gas.log,KL184,14,2,1,departed,True,364.0,485.0,500.0,691.0,706.0,711.0,711.0,347.0,121.0,191.0
seed000_gas,0,gas,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_gas.log,KL642,15,1,4,load_assigned,False,141.0,198.0,213.0,,,,,,57.0,
seed000_gas,0,gas,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_gas.log,LH412,12,3,2,departed,True,108.0,113.0,128.0,145.0,160.0,165.0,165.0,57.0,5.0,17.0
seed000_gas,0,gas,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_gas.log,LH997,7,3,4,departed,True,33.0,34.0,49.0,59.0,74.0,79.0,79.0,46.0,1.0,10.0
seed000_gas,0,gas,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_gas.log,OS374,12,3,2,departed,True,330.0,483.0,498.0,546.0,561.0,566.0,566.0,236.0,153.0,48.0
seed000_gas,0,gas,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_gas.log,QF640,11,4,2,load_assigned,False,313.0,482.0,497.0,,,,,,169.0,
seed000_gas,0,gas,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_gas.log,TK1954,8,4,3,departed,True,290.0,307.0,322.0,463.0,478.0,483.0,483.0,193.0,17.0,141.0
seed000_gas,0,gas,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_gas.log,U28672,10,1,2,departed,True,76.0,80.0,95.0,246.0,261.0,266.0,266.0,190.0,4.0,151.0
seed000_electric,0,electric,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_electric.log,AF1341,19,3,4,departed,True,274.0,346.0,361.0,381.0,396.0,401.0,401.0,127.0,72.0,20.0
seed000_electric,0,electric,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_electric.log,AF782,9,1,3,departed,True,66.0,70.0,85.0,153.0,168.0,173.0,173.0,107.0,4.0,68.0
seed000_electric,0,electric,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_electric.log,BA774,16,4,3,departed,True,170.0,211.0,226.0,313.0,328.0,333.0,333.0,163.0,41.0,87.0
seed000_electric,0,electric,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_electric.log,EK149,9,4,3,departed,True,294.0,299.0,314.0,329.0,344.0,349.0,349.0,55.0,5.0,15.0
seed000_electric,0,electric,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_electric.log,EK533,13,2,1,departed,True,122.0,131.0,146.0,190.0,205.0,210.0,210.0,88.0,9.0,44.0
seed000_electric,0,electric,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_electric.log,IB204,18,3,4,departed,True,250.0,345.0,360.0,390.0,405.0,410.0,410.0,160.0,95.0,30.0
seed000_electric,0,electric,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_electric.log,IB452,15,4,3,departed,True,377.0,386.0,401.0,411.0,426.0,431.0,431.0,54.0,9.0,10.0
seed000_electric,0,electric,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_electric.log,KL123,17,1,1,departed,True,425.0,427.0,442.0,461.0,476.0,481.0,481.0,56.0,2.0,19.0
seed000_electric,0,electric,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_electric.log,KL184,14,2,1,departed,True,364.0,386.0,401.0,457.0,472.0,477.0,477.0,113.0,22.0,56.0
seed000_electric,0,electric,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_electric.log,KL642,15,1,4,departed,True,141.0,191.0,206.0,278.0,293.0,298.0,298.0,157.0,50.0,72.0
