seed,gse_type,log_file,plane_id,completed,turnaround_time_min,wait_unload_min,wait_load_min
0,electric,seed000_electric.log,AF1341,True,80.0,25.0,20.0
0,electric,seed000_electric.log,AF782,True,139.0,4.0,100.0
0,electric,seed000_electric.log,BA774,True,57.0,13.0,9.0
0,electric,seed000_electric.log,EK149,True,44.0,0.0,9.0
0,electric,seed000_electric.log,EK533,True,64.0,7.0,22.0
0,electric,seed000_electric.log,IB204,True,58.0,11.0,12.0
0,electric,seed000_electric.log,IB452,True,86.0,1.0,50.0
0,electric,seed000_electric.log,KL123,True,61.0,2.0,24.0
0,electric,seed000_electric.log,KL184,True,112.0,15.0,62.0
0,electric,seed000_electric.log,KL642,True,103.0,32.0,36.0
0,electric,seed000_electric.log,LH412,True,57.0,5.0,17.0
0,electric,seed000_electric.log,LH997,True,46.0,1.0,10.0
0,electric,seed000_electric.log,OS374,True,76.0,12.0,29.0
0,electric,seed000_electric.log,QF640,True,66.0,14.0,17.0
0,electric,seed000_electric.log,TK1954,True,42.0,1.0,6.0
0,electric,seed000_electric.log,U28672,True,171.0,4.0,132.0
6,electric,seed006_electric.log,AF1341,True,63.0,10.0,18.0
6,electric,seed006_electric.log,AF782,True,47.0,1.0,11.0
6,electric,seed006_electric.log,BA774,True,54.0,8.0,11.0
6,electric,seed006_electric.log,EK149,True,79.0,7.0,37.0
6,electric,seed006_electric.log,EK533,True,99.0,10.0,54.0
6,electric,seed006_electric.log,IB204,True,61.0,11.0,15.0
6,electric,seed006_electric.log,IB452,True,94.0,6.0,53.0
6,electric,seed006_electric.log,KL123,True,92.0,34.0,23.0
6,electric,seed006_electric.log,KL184,True,115.0,10.0,70.0
6,electric,seed006_electric.log,KL642,True,82.0,6.0,41.0
6,electric,seed006_electric.log,LH412,True,55.0,8.0,12.0
6,electric,seed006_electric.log,LH997,True,43.0,1.0,7.0
6,electric,seed006_electric.log,OS374,True,76.0,20.0,21.0
6,electric,seed006_electric.log,QF640,True,130.0,62.0,33.0
6,electric,seed006_electric.log,TK1954,True,78.0,4.0,39.0
6,electric,seed006_electric.log,U28672,True,55.0,4.0,16.0
3,electric,seed003_electric.log,AF1341,True,82.0,8.0,39.0
3,electric,seed003_electric.log,AF782,True,53.0,5.0,13.0
3,electric,seed003_electric.log,BA774,True,63.0,18.0,10.0
3,electric,seed003_electric.log,EK149,True,59.0,1.0,23.0
3,electric,seed003_electric.log,EK533,True,73.0,8.0,30.0
3,electric,seed003_electric.log,IB204,True,53.0,6.0,12.0
3,electric,seed003_electric.log,IB452,True,96.0,21.0,40.0
3,electric,seed003_electric.log,KL123,True,181.0,95.0,51.0
3,electric,seed003_electric.log,KL184,True,153.0,9.0,109.0
3,electric,seed003_electric.log,KL642,True,88.0,6.0,47.0
3,electric,seed003_electric.log,LH412,True,55.0,5.0,15.0
3,electric,seed003_electric.log,LH997,True,48.0,3.0,10.0
3,electric,seed003_electric.log,OS374,True,82.0,17.0,30.0
3,electric,seed003_electric.log,QF640,True,81.0,30.0,16.0
3,electric,seed003_electric.log,TK1954,True,55.0,3.0,17.0
3,electric,seed003_electric.log,U28672,True,79.0,4.0,40.0
7,electric,seed007_electric.log,AF1341,True,66.0,15.0,16.0
7,electric,seed007_electric.log,AF782,True,115.0,1.0,79.0
7,electric,seed007_electric.log,BA774,True,69.0,7.0,27.0
7,electric,seed007_electric.log,EK149,True,69.0,8.0,26.0
7,electric,seed007_electric.log,EK533,True,78.0,8.0,35.0
7,electric,seed007_electric.log,IB204,True,65.0,6.0,24.0
7,electric,seed007_electric.log,IB452,True,84.0,36.0,13.0
7,electric,seed007_electric.log,KL123,True,82.0,13.0,34.0
7,electric,seed007_electric.log,KL184,True,111.0,54.0,22.0
7,electric,seed007_electric.log,KL642,True,94.0,41.0,18.0
7,electric,seed007_electric.log,LH412,True,60.0,8.0,17.0
7,electric,seed007_electric.log,LH997,True,46.0,0.0,11.0
7,electric,seed007_electric.log,OS374,True,118.0,15.0,68.0
7,electric,seed007_electric.log,QF640,True,123.0,10.0,78.0
7,electric,seed007_electric.log,TK1954,True,80.0,7.0,38.0
7,electric,seed007_electric.log,U28672,True,77.0,4.0,38.0
1,electric,seed001_electric.log,AF1341,True,60.0,8.0,17.0
1,electric,seed001_electric.log,AF782,True,48.0,0.0,13.0
1,electric,seed001_electric.log,BA774,True,53.0,9.0,9.0
1,electric,seed001_electric.log,EK149,True,65.0,5.0,25.0
1,electric,seed001_electric.log,EK533,True,61.0,6.0,20.0
1,electric,seed001_electric.log,IB204,True,62.0,11.0,16.0
1,electric,seed001_electric.log,IB452,True,48.0,0.0,13.0
1,electric,seed001_electric.log,KL123,True,57.0,5.0,17.0
1,electric,seed001_electric.log,KL184,True,115.0,20.0,60.0
1,electric,seed001_electric.log,KL642,True,57.0,6.0,16.0
1,electric,seed001_electric.log,LH412,True,50.0,0.0,15.0
1,electric,seed001_electric.log,LH997,True,47.0,3.0,9.0
1,electric,seed001_electric.log,OS374,True,82.0,31.0,16.0
