============================================================
BATCH RUN SUMMARY
Created     : 2026-04-22_19-04-07
GSE type    : electric
Seeds       : 100
Workers     : 7
Batch dir   : /Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-22_19-04-07
Results CSV : /Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-22_19-04-07/batch_results.csv
------------------------------------------------------------
seed,gse_type,mean_tat,n_completed,log_file
3,electric,61.1,16,seed003_electric.log
1,electric,67.2,16,seed001_electric.log
0,electric,66.9,16,seed000_electric.log
4,electric,60.2,16,seed004_electric.log
8,electric,72.1,16,seed008_electric.log
6,electric,62.7,16,seed006_electric.log
7,electric,65.6,16,seed007_electric.log
5,electric,66.4,16,seed005_electric.log
9,electric,62.6,16,seed009_electric.log
12,electric,64.4,16,seed012_electric.log
2,electric,68.1,16,seed002_electric.log
13,electric,64.2,16,seed013_electric.log
14,electric,66.9,16,seed014_electric.log
16,electric,78.4,16,seed016_electric.log
11,electric,70.1,16,seed011_electric.log
10,electric,71.6,16,seed010_electric.log
19,electric,60.9,16,seed019_electric.log
18,electric,54.9,16,seed018_electric.log
24,electric,62.4,16,seed024_electric.log
25,electric,65.9,16,seed025_electric.log
22,electric,64.7,16,seed022_electric.log
20,electric,60.6,16,seed020_electric.log
17,electric,66.4,16,seed017_electric.log
21,electric,69.7,16,seed021_electric.log
15,electric,69.8,16,seed015_electric.log
27,electric,71.6,16,seed027_electric.log
28,electric,61.6,16,seed028_electric.log
30,electric,58.8,16,seed030_electric.log
31,electric,60.1,16,seed031_electric.log
35,electric,60.6,16,seed035_electric.log
26,electric,67.4,16,seed026_electric.log
33,electric,77.3,16,seed033_electric.log
32,electric,69.9,16,seed032_electric.log
37,electric,62.9,16,seed037_electric.log
34,electric,68.9,16,seed034_electric.log
38,electric,68.4,16,seed038_electric.log
39,electric,61.3,16,seed039_electric.log
23,electric,70.0,16,seed023_electric.log
29,electric,68.6,16,seed029_electric.log
36,electric,63.4,16,seed036_electric.log
40,electric,68.4,16,seed040_electric.log
44,electric,65.4,16,seed044_electric.log
41,electric,65.3,16,seed041_electric.log
45,electric,61.9,16,seed045_electric.log
42,electric,62.7,16,seed042_electric.log
48,electric,70.8,16,seed048_electric.log
49,electric,64.0,16,seed049_electric.log
43,electric,64.1,16,seed043_electric.log
50,electric,61.2,16,seed050_electric.log
51,electric,61.8,16,seed051_electric.log
46,electric,62.6,16,seed046_electric.log
53,electric,73.9,16,seed053_electric.log
52,electric,74.8,16,seed052_electric.log
47,electric,59.1,16,seed047_electric.log
59,electric,74.4,16,seed059_electric.log
57,electric,56.7,16,seed057_electric.log
60,electric,66.1,16,seed060_electric.log
56,electric,78.4,16,seed056_electric.log
54,electric,73.6,16,seed054_electric.log
62,electric,63.6,16,seed062_electric.log
58,electric,72.0,16,seed058_electric.log
65,electric,61.2,16,seed065_electric.log
61,electric,74.3,16,seed061_electric.log
63,electric,61.1,16,seed063_electric.log
66,electric,65.7,16,seed066_electric.log
64,electric,59.2,16,seed064_electric.log
70,electric,73.2,16,seed070_electric.log
68,electric,64.9,16,seed068_electric.log
67,electric,65.1,16,seed067_electric.log
69,electric,69.0,16,seed069_electric.log
73,electric,57.5,16,seed073_electric.log
75,electric,62.4,16,seed075_electric.log
55,electric,64.8,16,seed055_electric.log
77,electric,71.0,16,seed077_electric.log
71,electric,62.6,16,seed071_electric.log
72,electric,62.4,16,seed072_electric.log
79,electric,59.3,16,seed079_electric.log
74,electric,66.3,16,seed074_electric.log
78,electric,57.1,16,seed078_electric.log
76,electric,69.0,16,seed076_electric.log
82,electric,60.9,16,seed082_electric.log
80,electric,69.2,16,seed080_electric.log
83,electric,71.2,16,seed083_electric.log
86,electric,78.2,16,seed086_electric.log
87,electric,66.5,16,seed087_electric.log
84,electric,72.2,16,seed084_electric.log
85,electric,63.1,16,seed085_electric.log
81,electric,60.4,16,seed081_electric.log
88,electric,62.6,16,seed088_electric.log
91,electric,62.9,16,seed091_electric.log
90,electric,67.3,16,seed090_electric.log
95,electric,62.0,16,seed095_electric.log
96,electric,61.5,16,seed096_electric.log
97,electric,69.6,16,seed097_electric.log
89,electric,82.4,16,seed089_electric.log
92,electric,64.8,16,seed092_electric.log
98,electric,64.6,16,seed098_electric.log
94,electric,61.9,16,seed094_electric.log
93,electric,65.0,16,seed093_electric.log
99,electric,60.1,16,seed099_electric.log
