seed,gse_type,log_file,gse_id,total_energy_consumed_pct,tasks_completed
4,gas,seed004_gas.log,1,58.0,3
4,gas,seed004_gas.log,2,70.0,5
4,gas,seed004_gas.log,3,64.0,5
4,gas,seed004_gas.log,4,68.0,5
4,gas,seed004_gas.log,5,95.0,6
4,gas,seed004_gas.log,6,72.0,4
4,gas,seed004_gas.log,7,54.0,4
6,gas,seed006_gas.log,1,69.0,5
6,gas,seed006_gas.log,2,64.0,4
6,gas,seed006_gas.log,3,51.0,5
6,gas,seed006_gas.log,4,67.0,4
6,gas,seed006_gas.log,5,65.0,4
6,gas,seed006_gas.log,6,78.0,5
6,gas,seed006_gas.log,7,74.0,5
1,gas,seed001_gas.log,1,50.0,4
1,gas,seed001_gas.log,2,59.0,5
1,gas,seed001_gas.log,3,72.0,6
1,gas,seed001_gas.log,4,75.0,4
1,gas,seed001_gas.log,5,68.0,5
1,gas,seed001_gas.log,6,59.0,3
1,gas,seed001_gas.log,7,91.0,5
8,gas,seed008_gas.log,1,77.0,5
8,gas,seed008_gas.log,2,63.0,3
8,gas,seed008_gas.log,3,70.0,5
8,gas,seed008_gas.log,4,97.0,6
8,gas,seed008_gas.log,5,69.0,5
8,gas,seed008_gas.log,6,51.0,3
8,gas,seed008_gas.log,7,69.0,5
0,gas,seed000_gas.log,1,74.0,4
0,gas,seed000_gas.log,2,56.0,3
0,gas,seed000_gas.log,3,43.0,4
0,gas,seed000_gas.log,4,72.0,4
0,gas,seed000_gas.log,5,102.0,7
0,gas,seed000_gas.log,6,76.0,5
0,gas,seed000_gas.log,7,76.0,4
3,gas,seed003_gas.log,1,57.0,4
3,gas,seed003_gas.log,2,106.0,6
3,gas,seed003_gas.log,3,65.0,4
3,gas,seed003_gas.log,4,53.0,5
3,gas,seed003_gas.log,5,55.0,3
3,gas,seed003_gas.log,6,73.0,5
3,gas,seed003_gas.log,7,64.0,4
7,gas,seed007_gas.log,1,49.0,3
7,gas,seed007_gas.log,2,103.0,8
7,gas,seed007_gas.log,3,85.0,5
7,gas,seed007_gas.log,4,63.0,5
7,gas,seed007_gas.log,5,67.0,4
7,gas,seed007_gas.log,6,62.0,3
7,gas,seed007_gas.log,7,62.0,4
9,gas,seed009_gas.log,1,99.0,7
9,gas,seed009_gas.log,2,90.0,5
9,gas,seed009_gas.log,3,51.0,4
9,gas,seed009_gas.log,4,56.0,3
9,gas,seed009_gas.log,5,53.0,5
9,gas,seed009_gas.log,6,51.0,4
9,gas,seed009_gas.log,7,68.0,4
2,gas,seed002_gas.log,1,89.0,5
2,gas,seed002_gas.log,2,59.0,5
2,gas,seed002_gas.log,3,90.0,6
2,gas,seed002_gas.log,4,67.0,4
2,gas,seed002_gas.log,5,64.0,4
2,gas,seed002_gas.log,6,50.0,4
2,gas,seed002_gas.log,7,77.0,4
5,gas,seed005_gas.log,1,52.0,4
5,gas,seed005_gas.log,2,75.0,4
5,gas,seed005_gas.log,3,42.0,4
5,gas,seed005_gas.log,4,69.0,4
5,gas,seed005_gas.log,5,77.0,5
5,gas,seed005_gas.log,6,68.0,5
5,gas,seed005_gas.log,7,120.0,6
