============================================================
BATCH RUN SUMMARY
Created     : 2026-04-23_11-38-56
GSE type    : gas
Seeds       : 100
Workers     : 7
Batch dir   : /Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-23_11-38-56
Results CSV : /Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-23_11-38-56/batch_results.csv
------------------------------------------------------------
seed,gse_type,mean_tat,n_completed,log_file
4,gas,71.1,65,seed004_gas.log
6,gas,72.3,65,seed006_gas.log
1,gas,74.5,65,seed001_gas.log
3,gas,75.5,65,seed003_gas.log
0,gas,75.3,65,seed000_gas.log
5,gas,70.8,65,seed005_gas.log
2,gas,75.5,65,seed002_gas.log
11,gas,76.4,65,seed011_gas.log
8,gas,75.2,65,seed008_gas.log
9,gas,73.6,65,seed009_gas.log
13,gas,73.5,65,seed013_gas.log
7,gas,76.8,65,seed007_gas.log
12,gas,71.4,65,seed012_gas.log
10,gas,76.8,65,seed010_gas.log
16,gas,73.7,65,seed016_gas.log
14,gas,75.9,65,seed014_gas.log
15,gas,72.8,65,seed015_gas.log
18,gas,77.1,65,seed018_gas.log
20,gas,76.2,65,seed020_gas.log
17,gas,76.6,65,seed017_gas.log
22,gas,74.7,65,seed022_gas.log
23,gas,77.0,65,seed023_gas.log
19,gas,79.7,65,seed019_gas.log
21,gas,77.0,65,seed021_gas.log
26,gas,70.4,65,seed026_gas.log
24,gas,75.6,65,seed024_gas.log
27,gas,75.1,65,seed027_gas.log
25,gas,74.5,65,seed025_gas.log
29,gas,74.0,65,seed029_gas.log
28,gas,75.9,65,seed028_gas.log
33,gas,70.4,65,seed033_gas.log
30,gas,74.3,65,seed030_gas.log
32,gas,75.2,65,seed032_gas.log
31,gas,75.0,65,seed031_gas.log
35,gas,76.0,65,seed035_gas.log
34,gas,72.7,65,seed034_gas.log
37,gas,74.1,65,seed037_gas.log
36,gas,75.9,65,seed036_gas.log
41,gas,71.4,65,seed041_gas.log
42,gas,75.1,65,seed042_gas.log
39,gas,76.5,65,seed039_gas.log
40,gas,77.7,65,seed040_gas.log
38,gas,75.3,65,seed038_gas.log
43,gas,73.6,65,seed043_gas.log
44,gas,78.1,65,seed044_gas.log
47,gas,75.2,65,seed047_gas.log
48,gas,76.2,65,seed048_gas.log
45,gas,74.7,65,seed045_gas.log
46,gas,78.0,65,seed046_gas.log
51,gas,73.0,65,seed051_gas.log
49,gas,73.6,65,seed049_gas.log
50,gas,72.0,65,seed050_gas.log
53,gas,76.3,65,seed053_gas.log
54,gas,73.9,65,seed054_gas.log
52,gas,77.0,65,seed052_gas.log
58,gas,74.1,65,seed058_gas.log
55,gas,78.9,65,seed055_gas.log
56,gas,74.9,65,seed056_gas.log
57,gas,71.3,65,seed057_gas.log
61,gas,74.8,65,seed061_gas.log
59,gas,77.5,65,seed059_gas.log
62,gas,74.2,65,seed062_gas.log
65,gas,70.2,65,seed065_gas.log
66,gas,75.4,65,seed066_gas.log
60,gas,79.0,65,seed060_gas.log
63,gas,77.8,65,seed063_gas.log
64,gas,73.9,65,seed064_gas.log
67,gas,76.5,65,seed067_gas.log
68,gas,75.1,65,seed068_gas.log
69,gas,75.2,65,seed069_gas.log
72,gas,73.8,65,seed072_gas.log
71,gas,76.5,65,seed071_gas.log
70,gas,73.8,65,seed070_gas.log
76,gas,74.3,65,seed076_gas.log
78,gas,73.0,65,seed078_gas.log
80,gas,78.5,65,seed080_gas.log
73,gas,79.9,65,seed073_gas.log
74,gas,77.0,65,seed074_gas.log
77,gas,77.8,65,seed077_gas.log
75,gas,75.3,65,seed075_gas.log
79,gas,78.2,65,seed079_gas.log
82,gas,74.1,65,seed082_gas.log
83,gas,79.6,65,seed083_gas.log
85,gas,75.0,65,seed085_gas.log
84,gas,74.9,65,seed084_gas.log
86,gas,73.6,65,seed086_gas.log
87,gas,72.0,65,seed087_gas.log
81,gas,75.5,65,seed081_gas.log
89,gas,72.3,65,seed089_gas.log
88,gas,72.3,65,seed088_gas.log
96,gas,73.8,65,seed096_gas.log
94,gas,74.5,65,seed094_gas.log
93,gas,73.7,65,seed093_gas.log
91,gas,74.9,65,seed091_gas.log
90,gas,76.1,65,seed090_gas.log
92,gas,77.6,65,seed092_gas.log
95,gas,78.0,65,seed095_gas.log
97,gas,72.7,65,seed097_gas.log
99,gas,71.8,65,seed099_gas.log
98,gas,75.8,65,seed098_gas.log
------------------------------------------------------------
Seeds completed : 100
Total flights   : 6500
Overall avg TAT : 75.01 min
Wall time       : 0:00:21
============================================================
