seed,gse_type,mean_tat,n_completed,log_file
0,electric,105.8,65,seed000_electric.log
1,electric,106.7,65,seed001_electric.log
2,electric,105.8,65,seed002_electric.log
3,electric,115.3,63,seed003_electric.log
4,electric,110.9,63,seed004_electric.log
5,electric,108.4,65,seed005_electric.log
6,electric,119.9,65,seed006_electric.log
7,electric,91.1,65,seed007_electric.log
8,electric,114.0,65,seed008_electric.log
9,electric,105.0,65,seed009_electric.log
10,electric,118.9,60,seed010_electric.log
11,electric,109.0,65,seed011_electric.log
12,electric,99.0,65,seed012_electric.log
13,electric,108.9,65,seed013_electric.log
14,electric,97.6,65,seed014_electric.log
15,electric,104.3,65,seed015_electric.log
16,electric,101.0,65,seed016_electric.log
17,electric,111.3,58,seed017_electric.log
18,electric,118.5,64,seed018_electric.log
19,electric,117.8,65,seed019_electric.log
20,electric,104.9,65,seed020_electric.log
21,electric,102.8,65,seed021_electric.log
22,electric,115.7,61,seed022_electric.log
23,electric,109.7,64,seed023_electric.log
24,electric,97.7,65,seed024_electric.log
25,electric,124.7,62,seed025_electric.log
26,electric,105.9,65,seed026_electric.log
27,electric,112.6,65,seed027_electric.log
28,electric,101.1,65,seed028_electric.log
29,electric,110.2,65,seed029_electric.log
30,electric,106.4,65,seed030_electric.log
31,electric,113.0,65,seed031_electric.log
32,electric,105.5,65,seed032_electric.log
33,electric,112.5,65,seed033_electric.log
34,electric,109.6,65,seed034_electric.log
35,electric,103.3,65,seed035_electric.log
36,electric,108.4,65,seed036_electric.log
37,electric,106.2,65,seed037_electric.log
38,electric,108.1,64,seed038_electric.log
39,electric,94.8,65,seed039_electric.log
40,electric,114.0,65,seed040_electric.log
41,electric,105.7,65,seed041_electric.log
42,electric,111.2,65,seed042_electric.log
43,electric,109.6,64,seed043_electric.log
44,electric,109.6,65,seed044_electric.log
45,electric,101.1,65,seed045_electric.log
46,electric,111.6,63,seed046_electric.log
47,electric,114.8,65,seed047_electric.log
48,electric,105.0,65,seed048_electric.log
49,electric,100.4,65,seed049_electric.log
50,electric,116.7,61,seed050_electric.log
51,electric,109.6,64,seed051_electric.log
52,electric,112.5,64,seed052_electric.log
53,electric,98.4,65,seed053_electric.log
54,electric,113.6,64,seed054_electric.log
55,electric,97.2,65,seed055_electric.log
56,electric,102.6,65,seed056_electric.log
57,electric,103.6,65,seed057_electric.log
58,electric,102.1,65,seed058_electric.log
59,electric,106.8,65,seed059_electric.log
60,electric,103.8,65,seed060_electric.log
61,electric,114.9,65,seed061_electric.log
62,electric,102.5,65,seed062_electric.log
63,electric,105.8,65,seed063_electric.log
64,electric,112.9,65,seed064_electric.log
65,electric,124.5,65,seed065_electric.log
66,electric,98.0,65,seed066_electric.log
67,electric,103.7,65,seed067_electric.log
68,electric,101.6,65,seed068_electric.log
69,electric,107.4,65,seed069_electric.log
70,electric,125.2,59,seed070_electric.log
71,electric,107.4,65,seed071_electric.log
72,electric,130.0,55,seed072_electric.log
73,electric,114.7,63,seed073_electric.log
74,electric,103.7,65,seed074_electric.log
75,electric,100.7,65,seed075_electric.log
76,electric,109.2,65,seed076_electric.log
77,electric,103.2,65,seed077_electric.log
78,electric,94.3,65,seed078_electric.log
79,electric,126.6,62,seed079_electric.log
80,electric,112.4,65,seed080_electric.log
81,electric,104.2,65,seed081_electric.log
82,electric,118.1,65,seed082_electric.log
83,electric,117.6,65,seed083_electric.log
84,electric,100.0,65,seed084_electric.log
85,electric,105.4,65,seed085_electric.log
86,electric,100.8,65,seed086_electric.log
87,electric,95.6,65,seed087_electric.log
88,electric,100.9,65,seed088_electric.log
89,electric,97.9,65,seed089_electric.log
90,electric,104.9,65,seed090_electric.log
91,electric,146.6,59,seed091_electric.log
92,electric,117.0,65,seed092_electric.log
93,electric,110.6,65,seed093_electric.log
94,electric,111.3,65,seed094_electric.log
95,electric,113.8,65,seed095_electric.log
96,electric,98.3,65,seed096_electric.log
97,electric,110.0,65,seed097_electric.log
98,electric,102.8,65,seed098_electric.log
99,electric,105.5,65,seed099_electric.log
