seed,gse_type,log_file,date_time,duration_hours,duration_min,gse_count,gse_speed,charge_duration_min,base_consumption_rate_pct_per_unit,recharge_rate_pct_per_min,auction_alpha,auction_beta
2,electric,seed002_electric.log,2026-04-23 11:40:54,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
4,electric,seed004_electric.log,2026-04-23 11:40:54,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
1,electric,seed001_electric.log,2026-04-23 11:40:54,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
3,electric,seed003_electric.log,2026-04-23 11:40:54,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
5,electric,seed005_electric.log,2026-04-23 11:40:55,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
6,electric,seed006_electric.log,2026-04-23 11:40:55,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
7,electric,seed007_electric.log,2026-04-23 11:40:55,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
0,electric,seed000_electric.log,2026-04-23 11:40:55,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
9,electric,seed009_electric.log,2026-04-23 11:40:55,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
8,electric,seed008_electric.log,2026-04-23 11:40:55,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
10,electric,seed010_electric.log,2026-04-23 11:40:56,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
11,electric,seed011_electric.log,2026-04-23 11:40:56,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
13,electric,seed013_electric.log,2026-04-23 11:40:56,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
12,electric,seed012_electric.log,2026-04-23 11:40:56,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
17,electric,seed017_electric.log,2026-04-23 11:40:56,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
18,electric,seed018_electric.log,2026-04-23 11:40:56,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
14,electric,seed014_electric.log,2026-04-23 11:40:57,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
15,electric,seed015_electric.log,2026-04-23 11:40:57,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
19,electric,seed019_electric.log,2026-04-23 11:40:57,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
20,electric,seed020_electric.log,2026-04-23 11:40:57,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
16,electric,seed016_electric.log,2026-04-23 11:40:57,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
25,electric,seed025_electric.log,2026-04-23 11:40:58,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
21,electric,seed021_electric.log,2026-04-23 11:40:58,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
22,electric,seed022_electric.log,2026-04-23 11:40:58,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
24,electric,seed024_electric.log,2026-04-23 11:40:58,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
27,electric,seed027_electric.log,2026-04-23 11:40:58,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
23,electric,seed023_electric.log,2026-04-23 11:40:58,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
26,electric,seed026_electric.log,2026-04-23 11:40:58,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
33,electric,seed033_electric.log,2026-04-23 11:40:59,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
29,electric,seed029_electric.log,2026-04-23 11:40:59,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
