alpha,beta,mean_tat,n_completed,total_energy_used,avg_tasks_per_gse
0.1,0.1,294.92,25,3226.4000000000024,5.25
0.1,0.2,379.4583333333333,24,3364.640000000007,5.375
0.1,0.30000000000000004,194.23076923076923,13,1831.3199999999977,3.375
0.1,0.4,332.5,14,1864.9199999999985,3.25
0.1,0.5,360.94444444444446,18,2208.0800000000036,3.875
0.1,0.6,347.40909090909093,22,2772.8800000000033,4.625
0.1,0.7000000000000001,328.5,16,2117.24,3.75
0.1,0.8,276.77777777777777,18,2234.239999999998,4.125
0.1,0.9,416.5882352941176,17,2140.880000000006,3.875
0.2,0.1,413.85185185185185,27,3206.0800000000113,5.75
0.2,0.2,356.11538461538464,26,3435.9600000000064,5.875
0.2,0.30000000000000004,272.125,8,1176.879999999999,2.25
0.2,0.4,123.8,10,1335.8399999999986,2.625
0.2,0.5,265.7857142857143,14,1811.799999999999,3.25
0.2,0.6,224.92857142857142,14,1931.3199999999974,3.25
0.2,0.7000000000000001,272.22222222222223,18,2406.880000000001,4.25
0.2,0.8,481.94444444444446,18,2780.3200000000006,4.5
0.2,0.9,194.21428571428572,14,1745.7999999999981,2.875
0.30000000000000004,0.1,301.0,19,2442.0799999999977,4.125
0.30000000000000004,0.2,269.70588235294116,17,2241.68,3.625
0.30000000000000004,0.30000000000000004,347.88235294117646,17,2406.880000000004,4.25
0.30000000000000004,0.4,275.8695652173913,23,3071.2800000000066,5.25
0.30000000000000004,0.5,218.0909090909091,11,1558.2799999999982,3.125
0.30000000000000004,0.6,281.85,20,2550.8399999999992,4.5
0.30000000000000004,0.7000000000000001,282.7894736842105,19,2227.9999999999973,4.125
0.30000000000000004,0.8,387.14285714285717,14,1946.1999999999998,3.375
0.30000000000000004,0.9,283.71875,32,4366.360000000018,7.125
0.4,0.1,318.3181818181818,22,2745.5200000000073,5.125
0.4,0.2,258.2307692307692,26,3617.2400000000043,5.625
0.4,0.30000000000000004,307.8421052631579,19,2423.080000000003,4.5
0.4,0.4,373.3333333333333,24,3080.320000000003,5.125
0.4,0.5,289.84615384615387,13,1745.399999999999,3.125
0.4,0.6,276.15384615384613,13,1828.7999999999986,3.125
0.4,0.7000000000000001,446.1111111111111,18,2324.279999999998,4.125
0.4,0.8,343.1666666666667,30,4045.1200000000104,6.375
0.4,0.9,288.0,27,3278.3200000000043,5.875
0.5,0.1,275.375,16,2926.400000000003,4.25
0.5,0.2,379.7368421052632,19,2449.640000000004,4.5
0.5,0.30000000000000004,283.42857142857144,14,1958.6800000000019,3.25
0.5,0.4,338.05,20,3010.6000000000004,4.625
0.5,0.5,321.25,20,2909.8000000000025,5.0
0.5,0.6,166.66666666666666,15,1821.3599999999976,3.5
0.5,0.7000000000000001,359.88461538461536,26,3453.3600000000083,5.375
0.5,0.8,276.0769230769231,13,1459.0799999999983,2.875
0.5,0.9,205.71428571428572,14,2007.279999999998,3.625
0.6,0.1,337.4736842105263,19,2513.5200000000077,4.25
0.6,0.2,274.6666666666667,18,2240.480000000001,4.375
0.6,0.30000000000000004,314.1578947368421,19,2565.8399999999992,4.625
0.6,0.4,352.5,26,3200.7600000000016,6.0
0.6,0.5,261.2068965517241,29,3579.5200000000045,6.375
0.6,0.6,281.7083333333333,24,3409.8000000000043,5.25
0.6,0.7000000000000001,317.8235294117647,17,2530.5199999999986,3.875
0.6,0.8,221.83333333333334,6,982.7199999999991,2.0
0.6,0.9,273.7692307692308,13,1628.8000000000006,3.25
0.7000000000000001,0.1,203.52631578947367,19,2402.36,4.625
0.7000000000000001,0.2,364.92857142857144,28,3801.5600000000095,6.375
0.7000000000000001,0.30000000000000004,353.77777777777777,27,3659.6000000000095,6.0
0.7000000000000001,0.4,214.78571428571428,14,1737.959999999998,3.25
0.7000000000000001,0.5,238.64705882352942,17,2317.2399999999993,4.125
0.7000000000000001,0.6,200.8181818181818,11,1366.9199999999987,2.75
0.7000000000000001,0.7000000000000001,253.64285714285714,14,1920.9599999999984,3.5
0.7000000000000001,0.8,429.29411764705884,17,2419.7600000000016,4.625
0.7000000000000001,0.9,194.52941176470588,17,2302.76,4.125
0.8,0.1,176.8235294117647,17,2216.839999999997,4.375
0.8,0.2,268.05555555555554,18,2418.04,4.125
0.8,0.30000000000000004,256.52941176470586,17,2234.6399999999994,3.75
0.8,0.4,177.28571428571428,14,2059.4799999999987,3.125
0.8,0.5,363.67857142857144,28,3905.2800000000125,6.375
0.8,0.6,292.04347826086956,23,3204.880000000007,5.375
0.8,0.7000000000000001,295.0,24,3499.040000000005,5.75
0.8,0.8,349.9032258064516,31,4317.760000000014,6.625
0.8,0.9,293.8,25,3316.4400000000096,5.375
0.9,0.1,256.44,25,3133.440000000002,5.625
0.9,0.2,401.7391304347826,23,3274.6000000000076,5.625
0.9,0.30000000000000004,265.47058823529414,17,2254.9600000000005,3.75
0.9,0.4,294.0967741935484,31,4315.640000000017,6.75
0.9,0.5,389.5263157894737,19,2240.0800000000054,4.625
0.9,0.6,292.9,20,2530.5200000000027,4.375
0.9,0.7000000000000001,318.47058823529414,17,2137.5600000000027,4.25
0.9,0.8,171.4375,16,2227.5999999999976,4.0
0.9,0.9,317.22222222222223,27,3511.520000000007,5.875
