alpha,beta,mean_tat,median_tat,std_tat,min_tat,max_tat,tat_values,n_completed,total_energy_used,avg_tasks_per_gse
0.1,0.1,297.96875,247.5,243.6763330186941,54.0,925.0,"[57.0, 56.0, 60.0, 63.0, 359.0, 70.0, 135.0, 221.0, 246.0, 337.0, 367.0, 422.0, 586.0, 56.0, 63.0, 54.0, 64.0, 384.0, 62.0, 136.0, 162.0, 235.0, 288.0, 249.0, 315.0, 468.0, 526.0, 596.0, 310.0, 807.0, 856.0, 925.0]",16.0,2123.479999999999,3.875
0.1,0.2,312.02702702702703,288.0,235.80013140845048,54.0,925.0,"[56.0, 63.0, 54.0, 64.0, 384.0, 62.0, 136.0, 162.0, 235.0, 288.0, 249.0, 315.0, 468.0, 526.0, 596.0, 310.0, 807.0, 856.0, 925.0, 57.0, 56.0, 60.0, 63.0, 438.0, 62.0, 140.0, 141.0, 243.0, 266.0, 314.0, 335.0, 385.0, 372.0, 405.0, 505.0, 645.0, 502.0]",18.5,2523.6799999999985,4.3125
0.1,0.3,312.02702702702703,288.0,235.80013140845048,54.0,925.0,"[56.0, 63.0, 54.0, 64.0, 384.0, 62.0, 136.0, 162.0, 235.0, 288.0, 249.0, 315.0, 468.0, 526.0, 596.0, 310.0, 807.0, 856.0, 925.0, 57.0, 56.0, 60.0, 63.0, 438.0, 62.0, 140.0, 141.0, 243.0, 266.0, 314.0, 335.0, 385.0, 372.0, 405.0, 505.0, 645.0, 502.0]",18.5,2523.6799999999985,4.3125
0.1,0.4,312.02702702702703,288.0,235.80013140845048,54.0,925.0,"[57.0, 56.0, 60.0, 63.0, 438.0, 62.0, 140.0, 141.0, 243.0, 266.0, 314.0, 335.0, 385.0, 372.0, 405.0, 505.0, 645.0, 502.0, 56.0, 63.0, 54.0, 64.0, 384.0, 62.0, 136.0, 162.0, 235.0, 288.0, 249.0, 315.0, 468.0, 526.0, 596.0, 310.0, 807.0, 856.0, 925.0]",18.5,2523.6799999999985,4.3125
0.1,0.5,312.02702702702703,288.0,235.80013140845048,54.0,925.0,"[56.0, 63.0, 54.0, 64.0, 384.0, 62.0, 136.0, 162.0, 235.0, 288.0, 249.0, 315.0, 468.0, 526.0, 596.0, 310.0, 807.0, 856.0, 925.0, 57.0, 56.0, 60.0, 63.0, 438.0, 62.0, 140.0, 141.0, 243.0, 266.0, 314.0, 335.0, 385.0, 372.0, 405.0, 505.0, 645.0, 502.0]",18.5,2523.6799999999985,4.3125
0.1,0.6,312.02702702702703,288.0,235.80013140845048,54.0,925.0,"[57.0, 56.0, 60.0, 63.0, 438.0, 62.0, 140.0, 141.0, 243.0, 266.0, 314.0, 335.0, 385.0, 372.0, 405.0, 505.0, 645.0, 502.0, 56.0, 63.0, 54.0, 64.0, 384.0, 62.0, 136.0, 162.0, 235.0, 288.0, 249.0, 315.0, 468.0, 526.0, 596.0, 310.0, 807.0, 856.0, 925.0]",18.5,2523.6799999999985,4.3125
0.1,0.7,312.02702702702703,288.0,235.80013140845048,54.0,925.0,"[56.0, 63.0, 54.0, 64.0, 384.0, 62.0, 136.0, 162.0, 235.0, 288.0, 249.0, 315.0, 468.0, 526.0, 596.0, 310.0, 807.0, 856.0, 925.0, 57.0, 56.0, 60.0, 63.0, 438.0, 62.0, 140.0, 141.0, 243.0, 266.0, 314.0, 335.0, 385.0, 372.0, 405.0, 505.0, 645.0, 502.0]",18.5,2523.6799999999985,4.3125
0.1,0.8,312.02702702702703,288.0,235.80013140845048,54.0,925.0,"[56.0, 63.0, 54.0, 64.0, 384.0, 62.0, 136.0, 162.0, 235.0, 288.0, 249.0, 315.0, 468.0, 526.0, 596.0, 310.0, 807.0, 856.0, 925.0, 57.0, 56.0, 60.0, 63.0, 438.0, 62.0, 140.0, 141.0, 243.0, 266.0, 314.0, 335.0, 385.0, 372.0, 405.0, 505.0, 645.0, 502.0]",18.5,2523.6799999999985,4.3125
0.1,0.9,312.02702702702703,288.0,235.80013140845048,54.0,925.0,"[57.0, 56.0, 60.0, 63.0, 438.0, 62.0, 140.0, 141.0, 243.0, 266.0, 314.0, 335.0, 385.0, 372.0, 405.0, 505.0, 645.0, 502.0, 56.0, 63.0, 54.0, 64.0, 384.0, 62.0, 136.0, 162.0, 235.0, 288.0, 249.0, 315.0, 468.0, 526.0, 596.0, 310.0, 807.0, 856.0, 925.0]",18.5,2523.6799999999985,4.3125
0.1,1.0,312.02702702702703,288.0,235.80013140845048,54.0,925.0,"[57.0, 56.0, 60.0, 63.0, 438.0, 62.0, 140.0, 141.0, 243.0, 266.0, 314.0, 335.0, 385.0, 372.0, 405.0, 505.0, 645.0, 502.0, 56.0, 63.0, 54.0, 64.0, 384.0, 62.0, 136.0, 162.0, 235.0, 288.0, 249.0, 315.0, 468.0, 526.0, 596.0, 310.0, 807.0, 856.0, 925.0]",18.5,2523.6799999999985,4.3125
