Alpha,Beta,Avg_TAT
0.4,0.8,300.4180832516073
0.2,0.4,300.4180832516073
0.4,0.6,304.81248710010317
0.2,0.8,292.55814536340847
0.2,0.2,266.7447269191077
0.4,0.2,217.88511204481787
0.2,0.6,292.55814536340847
0.2,1.0,292.55814536340847
0.4,0.4,266.7447269191077
0.4,1.0,292.55814536340847
0.6,0.2,263.7126081007115
0.6,0.4,248.00436016511867
0.8,0.6,248.00436016511867
0.6,0.8,266.7447269191077
0.8,0.4,217.88511204481787
0.8,0.8,266.7447269191077
0.6,0.6,266.7447269191077
0.6,1.0,304.6349310776942
0.8,0.2,263.7126081007115
0.8,1.0,266.7447269191077
1.0,0.4,266.116746031746
1.0,0.2,263.7126081007115
1.0,0.6,224.61280435251018
1.0,0.8,248.00436016511867
1.0,1.0,266.7447269191077
